"Skill","OriginalLines","TransformedLines","KeyChanges"
"audit-reproducibility","171","169","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"checkpoint","159","155","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"commit","109","108","line count changed, sh->ps1 refs, removed CC-only fields, added license: MIT, added compatibility: opencode"
"compile-latex","57","56","line count changed, env var conversion, cd->Set-Location, removed CC-only fields, added license: MIT, added compatibility: opencode"
"context-status","75","73","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode"
"create-lecture","122","119","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"data-analysis","167","166","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"deep-audit","181","178","line count changed, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"deploy","42","41","line count changed, sh->ps1 refs, removed CC-only fields, added license: MIT, added compatibility: opencode"
"devils-advocate","82","81","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"extract-tikz","98","97","line count changed, env var conversion, cd->Set-Location, sh->ps1 refs, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"interview-me","139","138","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"learn","163","159","line count changed, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"lit-review","123","122","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"new-diagram","142","139","line count changed, cd->Set-Location, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"pedagogy-review","36","35","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode"
"permission-check","146","145","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"preregister","171","167","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"proofread","43","42","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode"
"qa-quarto","59","57","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode"
"research-ideation","137","136","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"respond-to-referees","145","143","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"review-paper","400","399","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"review-r","31","30","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"seven-pass-review","155","153","line count changed, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"slide-excellence","217","215","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"translate-to-quarto","70","68","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode"
"validate-bib","157","156","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"verify-claims","127","126","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode, path refs .claude->.opencode"
"visual-audit","39","38","line count changed, removed CC-only fields, added license: MIT, added compatibility: opencode"
